groupe;espece;code_espece;individus;chlorophylle;type_biologique;
gB8;rhamnus_alaternus;RHAALA;1;48,7;phanerophyte;
gB8;rhamnus_alaternus;RHAALA;2;65,6;phanerophyte;
gA6;osyris_alba;OSYALB;1;45,23;chamephyte;
gA6;osyris_alba;OSYALB;2;18,5;chamephyte;
gA6;osyris_alba;OSYALB;3;59,6;chamephyte;
gA6;hedera_helix;HEDHEL;1;52,9;epiphyte;
gA6;hedera_helix;HEDHEL;2;48,5;epiphyte;
gA6;hedera_helix;HEDHEL;3;63,5;epiphyte;
gA11;celtis_australis;CELAUS;1;52,51;phanerophyte ;
gA11;celtis_australis;CELAUS;2;54,67;phanerophyte ;
gA11;celtis_australis;CELAUS;3;49,56;phanerophyte ;
